event_id,week_id,event_kind,event_order,title,priority,first_step_id,on_completed_interaction_ids,related_information_type_ids,preferred_semantics,linked_card_id
event_week_007_excursion_garden_direct_default,week_007,routine,0,정원 허가,10,step_event_week_007_excursion_garden_direct_default,compliant_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_007
event_week_007_excursion_garden_direct_stable,week_007,routine,1,정원 허가-안정,30,step_event_week_007_excursion_garden_direct_stable,clever_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_007
event_week_007_excursion_garden_direct_cautious,week_007,routine,2,정원 허가-신중,20,step_event_week_007_excursion_garden_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_007
event_week_007_excursion_garden_blocked,week_007,routine,3,정원 통제,10,step_event_week_007_excursion_garden_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_007
event_week_008_excursion_garden_direct_default,week_008,routine,0,정원 허가,10,step_event_week_008_excursion_garden_direct_default,compliant_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_008
event_week_008_excursion_garden_direct_curious,week_008,routine,1,정원 허가-호기심,30,step_event_week_008_excursion_garden_direct_curious,compliant_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_008
event_week_008_excursion_garden_direct_anxious,week_008,routine,2,정원 허가-불안,20,step_event_week_008_excursion_garden_direct_anxious,cautious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_008
event_week_008_excursion_garden_blocked,week_008,routine,3,정원 통제,10,step_event_week_008_excursion_garden_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_008
event_week_009_excursion_garden_direct_default,week_009,routine,0,정원 허가,10,step_event_week_009_excursion_garden_direct_default,compliant_plus_1,card_type_excursion,Direct,card_excursion_garden_week_009
event_week_009_excursion_garden_direct_stable,week_009,routine,1,정원 허가-안정,30,step_event_week_009_excursion_garden_direct_stable,stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_009
event_week_009_excursion_garden_direct_cautious,week_009,routine,2,정원 허가-신중,20,step_event_week_009_excursion_garden_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_009
event_week_009_excursion_garden_blocked,week_009,routine,3,정원 통제,10,step_event_week_009_excursion_garden_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_009
event_week_001_excursion_basement_direct_default,week_001,routine,2,지하실 허가,10,step_event_week_001_excursion_basement_direct_default,innocent_plus_1,card_type_excursion,Direct,card_excursion_basement_week_001
event_week_001_excursion_basement_blocked,week_001,routine,3,지하실 통제,10,step_event_week_001_excursion_basement_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_001
event_week_002_excursion_basement_direct_default,week_002,routine,4,지하실 허가,10,step_event_week_002_excursion_basement_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_basement_week_002
event_week_002_excursion_basement_direct_curious,week_002,routine,5,지하실 허가-호기심,30,step_event_week_002_excursion_basement_direct_curious,curious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_002
event_week_002_excursion_basement_direct_cautious,week_002,routine,6,지하실 허가-신중,20,step_event_week_002_excursion_basement_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_basement_week_002
event_week_002_excursion_basement_blocked,week_002,routine,7,지하실 통제,10,step_event_week_002_excursion_basement_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_002
event_week_003_excursion_basement_direct_default,week_003,routine,4,지하실 허가,10,step_event_week_003_excursion_basement_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_basement_week_003
event_week_003_excursion_basement_direct_curious,week_003,routine,5,지하실 허가-호기심,30,step_event_week_003_excursion_basement_direct_curious,curious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_003
event_week_003_excursion_basement_direct_anxious,week_003,routine,6,지하실 허가-불안,20,step_event_week_003_excursion_basement_direct_anxious,compliant_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_003
event_week_003_excursion_basement_blocked,week_003,routine,7,지하실 통제,10,step_event_week_003_excursion_basement_blocked,defiant_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_003
event_week_004_excursion_basement_direct_default,week_004,routine,4,지하실 허가,10,step_event_week_004_excursion_basement_direct_default,innocent_plus_1,card_type_excursion,Direct,card_excursion_basement_week_004
event_week_004_excursion_basement_direct_curious,week_004,routine,5,지하실 허가-호기심,30,step_event_week_004_excursion_basement_direct_curious,innocent_plus_1|curious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_004
event_week_004_excursion_basement_direct_cautious,week_004,routine,6,지하실 허가-신중,20,step_event_week_004_excursion_basement_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_basement_week_004
event_week_004_excursion_basement_blocked,week_004,routine,7,지하실 통제,10,step_event_week_004_excursion_basement_blocked,curious_plus_1|defiant_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_004
event_week_005_excursion_basement_direct_default,week_005,routine,4,지하실 허가,10,step_event_week_005_excursion_basement_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_basement_week_005
event_week_005_excursion_basement_direct_curious,week_005,routine,5,지하실 허가-호기심,30,step_event_week_005_excursion_basement_direct_curious,curious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_005
event_week_005_excursion_basement_direct_anxious,week_005,routine,6,지하실 허가-불안,20,step_event_week_005_excursion_basement_direct_anxious,compliant_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_005
event_week_005_excursion_basement_blocked,week_005,routine,7,지하실 통제,10,step_event_week_005_excursion_basement_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_005
event_week_006_excursion_basement_direct_default,week_006,routine,4,지하실 허가,10,step_event_week_006_excursion_basement_direct_default,anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_006
event_week_006_excursion_basement_direct_innocent,week_006,routine,5,지하실 허가-순진,30,step_event_week_006_excursion_basement_direct_innocent,innocent_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_006
event_week_006_excursion_basement_direct_clever,week_006,routine,6,지하실 허가-영민,20,step_event_week_006_excursion_basement_direct_clever,clever_plus_1|cautious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_006
event_week_006_excursion_basement_blocked,week_006,routine,7,지하실 통제,10,step_event_week_006_excursion_basement_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_006
event_week_007_excursion_basement_direct_default,week_007,routine,4,지하실 허가,10,step_event_week_007_excursion_basement_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_basement_week_007
event_week_007_excursion_basement_direct_cautious,week_007,routine,5,지하실 허가-신중,30,step_event_week_007_excursion_basement_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_basement_week_007
event_week_007_excursion_basement_direct_anxious,week_007,routine,6,지하실 허가-불안,20,step_event_week_007_excursion_basement_direct_anxious,compliant_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_007
event_week_007_excursion_basement_blocked,week_007,routine,7,지하실 통제,10,step_event_week_007_excursion_basement_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_007
event_week_008_excursion_basement_direct_default,week_008,routine,4,지하실 허가,10,step_event_week_008_excursion_basement_direct_default,anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_008
event_week_008_excursion_basement_direct_innocent,week_008,routine,5,지하실 허가-순진,30,step_event_week_008_excursion_basement_direct_innocent,innocent_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_008
event_week_008_excursion_basement_direct_cautious,week_008,routine,6,지하실 허가-신중,20,step_event_week_008_excursion_basement_direct_cautious,clever_plus_1|cautious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_008
event_week_008_excursion_basement_blocked,week_008,routine,7,지하실 통제,10,step_event_week_008_excursion_basement_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_008
event_week_009_excursion_basement_direct_default,week_009,routine,4,지하실 허가,10,step_event_week_009_excursion_basement_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_basement_week_009
event_week_009_excursion_basement_direct_stable,week_009,routine,5,지하실 허가-안정,30,step_event_week_009_excursion_basement_direct_stable,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_basement_week_009
event_week_009_excursion_basement_direct_anxious,week_009,routine,6,지하실 허가-불안,20,step_event_week_009_excursion_basement_direct_anxious,defiant_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_basement_week_009
event_week_009_excursion_basement_blocked,week_009,routine,7,지하실 통제,10,step_event_week_009_excursion_basement_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_basement_week_009
event_week_001_excursion_forest_direct_default,week_001,routine,4,숲 허가,10,step_event_week_001_excursion_forest_direct_default,curious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_001
event_week_001_excursion_forest_blocked,week_001,routine,5,숲 통제,10,step_event_week_001_excursion_forest_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_001
event_week_002_excursion_forest_direct_default,week_002,routine,8,숲 허가,10,step_event_week_002_excursion_forest_direct_default,stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_002
event_week_002_excursion_forest_direct_curious,week_002,routine,9,숲 허가-호기심,30,step_event_week_002_excursion_forest_direct_curious,curious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_002
event_week_002_excursion_forest_direct_compliant,week_002,routine,10,숲 허가-순응,20,step_event_week_002_excursion_forest_direct_compliant,compliant_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_002
event_week_002_excursion_forest_blocked,week_002,routine,11,숲 통제,10,step_event_week_002_excursion_forest_blocked,defiant_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_002
event_week_003_excursion_forest_direct_default,week_003,routine,8,숲  허가,10,step_event_week_003_excursion_forest_direct_default,curious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_003
event_week_003_excursion_forest_direct_clever,week_003,routine,9,숲 허가-영민,30,step_event_week_003_excursion_forest_direct_clever,clever_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_003
event_week_003_excursion_forest_direct_curious,week_003,routine,10,숲 허가-호기심,20,step_event_week_003_excursion_forest_direct_curious,curious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_003
event_week_003_excursion_forest_blocked,week_003,routine,11,숲 통제,10,step_event_week_003_excursion_forest_blocked,stable_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_003
event_week_004_excursion_forest_direct_default,week_004,routine,8,숲 허가,10,step_event_week_004_excursion_forest_direct_default,compliant_plus_1,card_type_excursion,Direct,card_excursion_forest_week_004
event_week_004_excursion_forest_direct_clever,week_004,routine,9,숲 허가-영민,30,step_event_week_004_excursion_forest_direct_clever,clever_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_004
event_week_004_excursion_forest_direct_anxious,week_004,routine,10,숲 허가-불안,20,step_event_week_004_excursion_forest_direct_anxious,cautious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_004
event_week_004_excursion_forest_blocked,week_004,routine,11,숲 통제,10,step_event_week_004_excursion_forest_blocked,defiant_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_004
event_week_005_excursion_forest_direct_default,week_005,routine,8,숲 허가,10,step_event_week_005_excursion_forest_direct_default,anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_005
event_week_005_excursion_forest_direct_innocent,week_005,routine,9,숲 허가-순진,30,step_event_week_005_excursion_forest_direct_innocent,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_005
event_week_005_excursion_forest_direct_anxious,week_005,routine,10,숲 허가-불안,20,step_event_week_005_excursion_forest_direct_anxious,clever_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_005
event_week_005_excursion_forest_blocked,week_005,routine,11,숲 통제,10,step_event_week_005_excursion_forest_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_005
event_week_006_excursion_forest_direct_default,week_006,routine,8,숲 허가,10,step_event_week_006_excursion_forest_direct_default,compliant_plus_1,card_type_excursion,Direct,card_excursion_forest_week_006
event_week_006_excursion_forest_direct_clever,week_006,routine,9,숲 허가-영민,30,step_event_week_006_excursion_forest_direct_clever,clever_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_006
event_week_006_excursion_forest_direct_defiant,week_006,routine,10,숲 허가-반항,20,step_event_week_006_excursion_forest_direct_defiant,defiant_plus_1,card_type_excursion,Direct,card_excursion_forest_week_006
event_week_006_excursion_forest_blocked,week_006,routine,11,숲 통제,10,step_event_week_006_excursion_forest_blocked,defiant_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_006
event_week_007_excursion_forest_direct_default,week_007,routine,8,숲 허가,10,step_event_week_007_excursion_forest_direct_default,stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_007
event_week_007_excursion_forest_direct_clever,week_007,routine,9,숲 허가-영민,30,step_event_week_007_excursion_forest_direct_clever,clever_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_007
event_week_007_excursion_forest_direct_curious,week_007,routine,10,숲 허가-호기심,20,step_event_week_007_excursion_forest_direct_curious,curious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_007
event_week_007_excursion_forest_blocked,week_007,routine,11,숲 통제,10,step_event_week_007_excursion_forest_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_007
event_week_008_excursion_forest_direct_default,week_008,routine,8,숲 허가,10,step_event_week_008_excursion_forest_direct_default,compliant_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_008
event_week_008_excursion_forest_direct_clever,week_008,routine,9,숲 허가-영민,30,step_event_week_008_excursion_forest_direct_clever,clever_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_008
event_week_008_excursion_forest_direct_anxious,week_008,routine,10,숲 허가-불안,20,step_event_week_008_excursion_forest_direct_anxious,cautious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_forest_week_008
event_week_008_excursion_forest_blocked,week_008,routine,11,숲 통제,10,step_event_week_008_excursion_forest_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_008
event_week_009_excursion_forest_direct_default,week_009,routine,8,숲 통제,10,step_event_week_009_excursion_forest_direct_default,stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_009
event_week_009_excursion_forest_direct_clever,week_009,routine,9,숲 허가-영민,30,step_event_week_009_excursion_forest_direct_clever,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_009
event_week_009_excursion_forest_direct_innocent,week_009,routine,10,숲 허가-순진,20,step_event_week_009_excursion_forest_direct_innocent,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_forest_week_009
event_week_009_excursion_forest_blocked,week_009,routine,11,숲 통제,10,step_event_week_009_excursion_forest_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_forest_week_009
event_week_001_excursion_library_direct_default,week_001,routine,6,도서관 허가,10,step_event_week_001_excursion_library_direct_default,anxious_plus_1,card_type_excursion,Direct,card_excursion_library_week_001
event_week_001_excursion_library_blocked,week_001,routine,7,도서관 통제,10,step_event_week_001_excursion_library_blocked,compliant_plus_1,card_type_excursion,Blocked,card_excursion_library_week_001
event_week_002_excursion_library_direct_default,week_002,routine,12,도서관 허가,10,step_event_week_002_excursion_library_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_library_week_002
event_week_002_excursion_library_direct_curious,week_002,routine,13,도서관 허가-호기심,30,step_event_week_002_excursion_library_direct_curious,clever_plus_1|curious_plus_1,card_type_excursion,Direct,card_excursion_library_week_002
event_week_002_excursion_library_direct_anxious,week_002,routine,14,도서관 허가-불안,20,step_event_week_002_excursion_library_direct_anxious,anxious_plus_1,card_type_excursion,Direct,card_excursion_library_week_002
event_week_002_excursion_library_blocked,week_002,routine,15,도서관 통제,10,step_event_week_002_excursion_library_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_library_week_002
event_week_003_excursion_library_direct_default,week_003,routine,12,도서관 허가,10,step_event_week_003_excursion_library_direct_default,stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_003
event_week_003_excursion_library_direct_cautious,week_003,routine,13,도서관 허가-신중,30,step_event_week_003_excursion_library_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_003
event_week_003_excursion_library_direct_innocent,week_003,routine,14,도서관 허가-순진,20,step_event_week_003_excursion_library_direct_innocent,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_003
event_week_003_excursion_library_blocked,week_003,routine,15,도서관 통제,10,step_event_week_003_excursion_library_blocked,compliant_plus_1,card_type_excursion,Blocked,card_excursion_library_week_003
event_week_004_excursion_library_direct_default,week_004,routine,12,도서관 허가,10,step_event_week_004_excursion_library_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_library_week_004
event_week_004_excursion_library_direct_clever,week_004,routine,13,도서관 허가-영민,30,step_event_week_004_excursion_library_direct_clever,clever_plus_1|cautious_plus_1,card_type_excursion,Direct,card_excursion_library_week_004
event_week_004_excursion_library_direct_curious,week_004,routine,14,도서관 허가-호기심,20,step_event_week_004_excursion_library_direct_curious,clever_plus_1|curious_plus_1,card_type_excursion,Direct,card_excursion_library_week_004
event_week_004_excursion_library_blocked,week_004,routine,15,도서관 통제,10,step_event_week_004_excursion_library_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_library_week_004
event_week_005_excursion_library_direct_default,week_005,routine,12,도서관 허가,10,step_event_week_005_excursion_library_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_library_week_005
event_week_005_excursion_library_direct_clever,week_005,routine,13,도서관 허가-영민,30,step_event_week_005_excursion_library_direct_clever,clever_plus_1|cautious_plus_1,card_type_excursion,Direct,card_excursion_library_week_005
event_week_005_excursion_library_direct_innocent,week_005,routine,14,도서관 허가-순진,20,step_event_week_005_excursion_library_direct_innocent,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_005
event_week_005_excursion_library_blocked,week_005,routine,15,도서관 통제,10,step_event_week_005_excursion_library_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_library_week_005
event_week_006_excursion_library_direct_default,week_006,routine,12,도서관 허가,10,step_event_week_006_excursion_library_direct_default,stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_006
event_week_006_excursion_library_direct_clever,week_006,routine,13,도서관 허가-영민,30,step_event_week_006_excursion_library_direct_clever,clever_plus_1,card_type_excursion,Direct,card_excursion_library_week_006
event_week_006_excursion_library_direct_cautious,week_006,routine,14,도서관 허가-신중,20,step_event_week_006_excursion_library_direct_cautious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_006
event_week_006_excursion_library_blocked,week_006,routine,15,도서관 통제,10,step_event_week_006_excursion_library_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_library_week_006
event_week_007_excursion_library_direct_default,week_007,routine,12,도서관 허가,10,step_event_week_007_excursion_library_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_library_week_007
event_week_007_excursion_library_direct_clever,week_007,routine,13,도서관 허가-영민,30,step_event_week_007_excursion_library_direct_clever,clever_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_007
event_week_007_excursion_library_direct_anxious,week_007,routine,14,도서관 허가-불안,20,step_event_week_007_excursion_library_direct_anxious,clever_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_library_week_007
event_week_007_excursion_library_blocked,week_007,routine,15,도서관 통제,10,step_event_week_007_excursion_library_blocked,cautious_plus_1|defiant_plus_1,card_type_excursion,Blocked,card_excursion_library_week_007
event_week_008_excursion_library_direct_default,week_008,routine,12,도서관 허가,10,step_event_week_008_excursion_library_direct_default,cautious_plus_1,card_type_excursion,Direct,card_excursion_library_week_008
event_week_008_excursion_library_direct_curious,week_008,routine,13,도서관 허가-호기심,30,step_event_week_008_excursion_library_direct_curious,clever_plus_1|curious_plus_1,card_type_excursion,Direct,card_excursion_library_week_008
event_week_008_excursion_library_direct_anxious,week_008,routine,14,도서관 허가-불안,20,step_event_week_008_excursion_library_direct_anxious,cautious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_library_week_008
event_week_008_excursion_library_blocked,week_008,routine,15,도서관 통제,10,step_event_week_008_excursion_library_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_library_week_008
event_week_009_excursion_library_direct_default,week_009,routine,12,도서관 허가,10,step_event_week_009_excursion_library_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_library_week_009
event_week_009_excursion_library_direct_stable,week_009,routine,13,도서관 허가-안정,30,step_event_week_009_excursion_library_direct_stable,clever_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_library_week_009
event_week_009_excursion_library_direct_anxious,week_009,routine,14,도서관 허가-불안,20,step_event_week_009_excursion_library_direct_anxious,anxious_plus_1,card_type_excursion,Direct,card_excursion_library_week_009
event_week_009_excursion_library_blocked,week_009,routine,15,도서관 통제,10,step_event_week_009_excursion_library_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_library_week_009
event_week_001_rian,week_001,routine,8,리안,10,step_event_week_001_rian,curious_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_001
event_week_002_rian_0,week_002,routine,16,리안,10,step_event_week_002_rian_0,curious_plus_1|defiant_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_002
event_week_002_rian_1,week_002,routine,17,리안,10,step_event_week_002_rian_1,curious_plus_1|defiant_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_002
event_week_003_rian_0,week_003,routine,16,리안,10,step_event_week_003_rian_0,curious_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_003
event_week_003_rian_1,week_003,routine,17,리안,10,step_event_week_003_rian_1,curious_plus_1|defiant_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_003
event_week_004_rian_0,week_004,routine,16,리안,10,step_event_week_004_rian_0,curious_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_004
event_week_004_rian_1,week_004,routine,17,리안,10,step_event_week_004_rian_1,curious_plus_1|defiant_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_004
event_week_004_rian_2,week_004,routine,18,리안,10,step_event_week_004_rian_2,curious_plus_1|defiant_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_004
event_week_005_rian_0,week_005,routine,16,리안,10,step_event_week_005_rian_0,curious_plus_1|defiant_plus_1|rian_plus_1,card_type_rian,Direct,card_rian_week_005
