event_id,selector_stat,selector_mode,threshold,is_default
event_week_003_excursion_forest_direct_default,,default,,true
event_week_003_excursion_forest_direct_clever,Trust,max_negative,0,false
event_week_003_excursion_forest_direct_curious,Curiosity,max_positive,0,false
event_week_003_excursion_forest_blocked,,default,,true
event_week_004_excursion_forest_direct_default,,default,,true
event_week_004_excursion_forest_direct_clever,Trust,max_negative,0,false
event_week_004_excursion_forest_direct_anxious,Anxiety,max_positive,0,false
event_week_004_excursion_forest_blocked,,default,,true
event_week_005_excursion_forest_direct_default,,default,,true
event_week_005_excursion_forest_direct_innocent,Trust,max_positive,0,false
event_week_005_excursion_forest_direct_anxious,Anxiety,max_positive,0,false
event_week_005_excursion_forest_blocked,,default,,true
event_week_006_excursion_forest_direct_default,,default,,true
event_week_006_excursion_forest_direct_clever,Trust,max_negative,0,false
event_week_006_excursion_forest_direct_defiant,Obedience,max_negative,0,false
event_week_006_excursion_forest_blocked,,default,,true
event_week_007_excursion_forest_direct_default,,default,,true
event_week_007_excursion_forest_direct_clever,Trust,max_negative,0,false
event_week_007_excursion_forest_direct_curious,Curiosity,max_positive,0,false
event_week_007_excursion_forest_blocked,,default,,true
event_week_008_excursion_forest_direct_default,,default,,true
event_week_008_excursion_forest_direct_clever,Trust,max_negative,0,false
event_week_008_excursion_forest_direct_anxious,Anxiety,max_positive,0,false
event_week_008_excursion_forest_blocked,,default,,true
event_week_009_excursion_forest_direct_default,,default,,true
event_week_009_excursion_forest_direct_clever,Trust,max_negative,0,false
event_week_009_excursion_forest_direct_innocent,Trust,max_positive,0,false
event_week_009_excursion_forest_blocked,,default,,true
event_week_001_excursion_library_direct_default,,default,,true
event_week_001_excursion_library_blocked,,default,,true
event_week_002_excursion_library_direct_default,,default,,true
event_week_002_excursion_library_direct_curious,Curiosity,max_positive,0,false
event_week_002_excursion_library_direct_anxious,Anxiety,max_positive,0,false
event_week_002_excursion_library_blocked,,default,,true
event_week_003_excursion_library_direct_default,,default,,true
event_week_003_excursion_library_direct_cautious,Curiosity,max_negative,0,false
event_week_003_excursion_library_direct_innocent,Trust,max_positive,0,false
event_week_003_excursion_library_blocked,,default,,true
event_week_004_excursion_library_direct_default,,default,,true
event_week_004_excursion_library_direct_clever,Trust,max_negative,0,false
event_week_004_excursion_library_direct_curious,Curiosity,max_positive,0,false
event_week_004_excursion_library_blocked,,default,,true
event_week_005_excursion_library_direct_default,,default,,true
event_week_005_excursion_library_direct_clever,Trust,max_negative,0,false
event_week_005_excursion_library_direct_innocent,Trust,max_positive,0,false
event_week_005_excursion_library_blocked,,default,,true
event_week_006_excursion_library_direct_default,,default,,true
event_week_006_excursion_library_direct_clever,Trust,max_negative,0,false
event_week_006_excursion_library_direct_cautious,Curiosity,max_negative,0,false
event_week_006_excursion_library_blocked,,default,,true
event_week_007_excursion_library_direct_default,,default,,true
event_week_007_excursion_library_direct_clever,Trust,max_negative,0,false
event_week_007_excursion_library_direct_anxious,Anxiety,max_positive,0,false
event_week_007_excursion_library_blocked,,default,,true
event_week_008_excursion_library_direct_default,,default,,true
event_week_008_excursion_library_direct_curious,Curiosity,max_positive,0,false
event_week_008_excursion_library_direct_anxious,Anxiety,max_positive,0,false
event_week_008_excursion_library_blocked,,default,,true
event_week_009_excursion_library_direct_default,,default,,true
event_week_009_excursion_library_direct_stable,Anxiety,max_negative,0,false
event_week_009_excursion_library_direct_anxious,Anxiety,max_positive,0,false
event_week_009_excursion_library_blocked,,default,,true
event_week_001_night_dark_room,,default,,true
event_week_001_night_parents,,default,,true
event_week_002_night_mother_resemblance,,default,,true
event_week_002_night_tea_party,,default,,true
event_week_003_night_father_book,,default,,true
event_week_003_night_carriage_crest,,default,,true
event_week_004_night_other_kids,,default,,true
event_week_004_night_uncle_pride,,default,,true
event_week_005_night_too_many_classes,,default,,true
event_week_005_night_unknown_frustration,,default,,true
event_week_006_night_ball_thoughts,,default,,true
event_week_006_night_chicken_dream,,default,,true
event_week_007_night_untold_story,,default,,true
event_week_007_night_unknown_mother,,default,,true
event_week_008_night_uncle_time,,default,,true
event_week_008_night_sleepless_night,,default,,true
