rule_id,enabled,week_id,event_id,moment,sequence_id,special_player_id
cutscene_library_25,true,week_007,event_week_007_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_27,true,week_008,event_week_008_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_28,true,week_008,event_week_008_excursion_library_direct_curious,EventEnter,sequence_library_default,
cutscene_library_29,true,week_008,event_week_008_excursion_library_direct_anxious,EventEnter,sequence_library_default,
cutscene_library_30,true,week_008,event_week_008_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_31,true,week_009,event_week_009_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_32,true,week_009,event_week_009_excursion_library_direct_stable,EventEnter,sequence_library_default,
cutscene_library_33,true,week_009,event_week_009_excursion_library_direct_anxious,EventEnter,sequence_library_default,
cutscene_library_34,true,week_009,event_week_009_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_week_001_rian_direct,true,week_001,event_week_001_rian,EventEnter,sequence_rian_default,
cutscene_week_002_rian_0,true,week_002,event_week_002_rian_0,EventEnter,sequence_rian_default,
cutscene_week_002_rian_1,true,week_002,event_week_002_rian_1,EventEnter,sequence_rian_default,
cutscene_week_003_rian_0,true,week_003,event_week_003_rian_0,EventEnter,sequence_rian_garden,
cutscene_week_003_rian_1,true,week_003,event_week_003_rian_1,EventEnter,sequence_rian_hallway,
cutscene_week_004_rian_0,true,week_004,event_week_004_rian_0,EventEnter,sequence_rian_garden,
cutscene_week_004_rian_1,true,week_004,event_week_004_rian_1,EventEnter,sequence_rian_garden,
cutscene_week_004_rian_2,true,week_004,event_week_004_rian_2,EventEnter,sequence_rian_garden,
cutscene_week_005_rian_0,true,week_005,event_week_005_rian_0,EventEnter,sequence_rian_garden,
cutscene_week_005_rian_1,true,week_005,event_week_005_rian_1,EventEnter,sequence_rian_garden,
cutscene_week_005_rian_2,true,week_005,event_week_005_rian_2,EventEnter,sequence_rian_garden,
cutscene_week_006_rian_0,true,week_006,event_week_006_rian_0,EventEnter,sequence_rian_default,
cutscene_week_006_rian_1,true,week_006,event_week_006_rian_1,EventEnter,sequence_rian_default,
cutscene_week_006_rian_2,true,week_006,event_week_006_rian_2,EventEnter,sequence_rian_default,
cutscene_week_006_rian_3,true,week_006,event_week_006_rian_3,EventEnter,sequence_rian_default,
cutscene_week_007_rian_0,true,week_007,event_week_007_rian_0,EventEnter,sequence_rian_default,
cutscene_week_007_rian_1,true,week_007,event_week_007_rian_1,EventEnter,sequence_rian_default,
cutscene_week_007_rian_2,true,week_007,event_week_007_rian_2,EventEnter,sequence_rian_default,
cutscene_week_007_rian_3,true,week_007,event_week_007_rian_3,EventEnter,sequence_rian_library,
cutscene_week_007_rian_4,true,week_007,event_week_007_rian_4,EventEnter,sequence_rian_garden,
cutscene_week_008_rian_0,true,week_008,event_week_008_rian_0,EventEnter,sequence_rian_default,
cutscene_week_008_rian_1,true,week_008,event_week_008_rian_1,EventEnter,sequence_rian_garden,
cutscene_week_008_rian_2,true,week_008,event_week_008_rian_2,EventEnter,sequence_rian_default,
cutscene_week_008_rian_3,true,week_008,event_week_008_rian_3,EventEnter,sequence_rian_library,
cutscene_week_008_rian_4,true,week_008,event_week_008_rian_4,EventEnter,sequence_rian_garden,
cutscene_week_009_rian_0,true,week_009,event_week_009_rian_0,EventEnter,sequence_rian_default,
cutscene_week_009_rian_1,true,week_009,event_week_009_rian_1,EventEnter,sequence_rian_garden,
cutscene_week_009_rian_2,true,week_009,event_week_009_rian_2,EventEnter,sequence_rian_library,
cutscene_week_009_rian_3,true,week_009,event_week_009_rian_3,EventEnter,sequence_rian_default,
cutscene_week_009_rian_4,true,week_009,event_week_009_rian_4,EventEnter,sequence_rian_garden,
cutscene_week_001_millia_direct,true,week_001,event_week_001_millia,EventEnter,sequence_millia_hallway,
cutscene_week_002_millia_0,true,week_002,event_week_002_millia_0,EventEnter,sequence_millia_drawingroom,
cutscene_week_002_millia_1,true,week_002,event_week_002_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_003_millia_0,true,week_003,event_week_003_millia_0,EventEnter,sequence_millia_hallway,
cutscene_week_003_millia_1,true,week_003,event_week_003_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_003_millia_2,true,week_003,event_week_003_millia_2,EventEnter,sequence_millia_hallway,
cutscene_week_004_millia_0,true,week_004,event_week_004_millia_0,EventEnter,sequence_millia_hallway,
cutscene_week_004_millia_1,true,week_004,event_week_004_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_004_millia_2,true,week_004,event_week_004_millia_2,EventEnter,sequence_millia_hallway,
cutscene_week_005_millia_0,true,week_005,event_week_005_millia_0,EventEnter,sequence_millia_hallway,
cutscene_week_005_millia_1,true,week_005,event_week_005_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_005_millia_3,true,week_005,event_week_005_millia_3,EventEnter,sequence_millia_hallway,
cutscene_week_006_millia_0,true,week_006,event_week_006_millia_0,EventEnter,sequence_millia_hallway,
cutscene_week_006_millia_1,true,week_006,event_week_006_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_006_millia_3,true,week_006,event_week_006_millia_3,EventEnter,sequence_millia_hallway,
cutscene_week_007_millia_0,true,week_007,event_week_007_millia_0,EventEnter,sequence_millia_drawingroom,
cutscene_week_007_millia_1,true,week_007,event_week_007_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_007_millia_2,true,week_007,event_week_007_millia_2,EventEnter,sequence_millia_drawingroom,
cutscene_week_007_millia_4,true,week_007,event_week_007_millia_4,EventEnter,sequence_millia_hallway,
cutscene_week_008_millia_0,true,week_008,event_week_008_millia_0,EventEnter,sequence_millia_drawingroom,
cutscene_week_008_millia_1,true,week_008,event_week_008_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_008_millia_3,true,week_008,event_week_008_millia_3,EventEnter,sequence_millia_hallway,
cutscene_week_009_millia_0,true,week_009,event_week_009_millia_0,EventEnter,sequence_millia_drawingroom,
cutscene_week_009_millia_1,true,week_009,event_week_009_millia_1,EventEnter,sequence_millia_drawingroom,
cutscene_week_009_millia_2,true,week_009,event_week_009_millia_2,EventEnter,sequence_millia_hallway,
cutscene_week_009_millia_3,true,week_009,event_week_009_millia_3,EventEnter,sequence_millia_hallway,
cutscene_week_009_millia_4,true,week_009,event_week_009_millia_4,EventEnter,sequence_millia_drawingroom,
cutscene_week_001_yuffie_direct,true,week_001,event_week_001_yuffie,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_002_yuffie_0,true,week_002,event_week_002_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_002_yuffie_1,true,week_002,event_week_002_yuffie_1,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_003_yuffie_0,true,week_003,event_week_003_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_003_yuffie_1,true,week_003,event_week_003_yuffie_1,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_003_yuffie_2,true,week_003,event_week_003_yuffie_2,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_004_yuffie_0,true,week_004,event_week_004_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_004_yuffie_1,true,week_004,event_week_004_yuffie_1,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_004_yuffie_2,true,week_004,event_week_004_yuffie_2,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_005_yuffie_0,true,week_005,event_week_005_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_005_yuffie_2,true,week_005,event_week_005_yuffie_2,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_005_yuffie_3,true,week_005,event_week_005_yuffie_3,EventEnter,sequence_yuffie_hallway,
cutscene_week_006_yuffie_0,true,week_006,event_week_006_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_006_yuffie_2,true,week_006,event_week_006_yuffie_2,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_007_yuffie_0,true,week_007,event_week_007_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_007_yuffie_1,true,week_007,event_week_007_yuffie_1,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_007_yuffie_2,true,week_007,event_week_007_yuffie_2,EventEnter,sequence_yuffie_garden,
cutscene_week_007_yuffie_4,true,week_007,event_week_007_yuffie_4,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_008_yuffie_0,true,week_008,event_week_008_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_008_yuffie_1,true,week_008,event_week_008_yuffie_1,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_008_yuffie_2,true,week_008,event_week_008_yuffie_2,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_008_yuffie_4,true,week_008,event_week_008_yuffie_4,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_009_yuffie_0,true,week_009,event_week_009_yuffie_0,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_009_yuffie_1,true,week_009,event_week_009_yuffie_1,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_009_yuffie_2,true,week_009,event_week_009_yuffie_2,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_009_yuffie_3,true,week_009,event_week_009_yuffie_3,EventEnter,sequence_yuffie_drawingroom,
cutscene_week_009_yuffie_4,true,week_009,event_week_009_yuffie_4,EventEnter,sequence_yuffie_garden,
cutscene_rumor_week_001_night_dark_room,true,week_001,event_week_001_rumor_direct_default,EventEnter,sequence_rumor_001_01,
cutscene_rumor_week_001_night_parents,true,week_001,event_week_001_rumor_blocked,EventEnter,sequence_rumor_001_02,
cutscene_rumor_week_002_night_mother_resemblance,true,week_002,event_week_002_rumor_direct_default,EventEnter,sequence_rumor_002_01,
cutscene_rumor_week_002_night_tea_party,true,week_002,event_week_002_rumor_blocked,EventEnter,sequence_rumor_002_02,
cutscene_rumor_week_003_night_father_book,true,week_003,event_week_003_rumor_direct_default,EventEnter,sequence_rumor_003_01,
cutscene_rumor_week_003_night_carriage_crest,true,week_003,event_week_003_rumor_blocked,EventEnter,sequence_rumor_003_02,
cutscene_rumor_week_004_night_other_kids,true,week_004,event_week_004_rumor_direct_default,EventEnter,sequence_rumor_004_01,
cutscene_rumor_week_004_night_uncle_pride,true,week_004,event_week_004_rumor_blocked,EventEnter,sequence_rumor_004_02,
cutscene_rumor_week_005_night_too_many_classes,true,week_005,event_week_005_rumor_direct_default,EventEnter,sequence_rumor_005_01,
cutscene_rumor_week_005_night_unknown_frustration,true,week_005,event_week_005_rumor_blocked,EventEnter,sequence_rumor_005_02,
cutscene_rumor_week_006_night_ball_thoughts,true,week_006,event_week_006_rumor_direct_default,EventEnter,sequence_rumor_006_01,
cutscene_rumor_week_006_night_chicken_dream,true,week_006,event_week_006_rumor_blocked,EventEnter,sequence_rumor_006_02,
cutscene_rumor_week_007_night_untold_story,true,week_007,event_week_007_rumor_direct_default,EventEnter,sequence_rumor_007_01,
cutscene_rumor_week_007_night_unknown_mother,true,week_007,event_week_007_rumor_blocked,EventEnter,sequence_rumor_007_02,
cutscene_rumor_week_008_night_uncle_time,true,week_008,event_week_008_rumor_direct_default,EventEnter,sequence_rumor_008_01,
cutscene_rumor_week_008_night_sleepless_night,true,week_008,event_week_008_rumor_blocked,EventEnter,sequence_rumor_008_02,
1,true,week_001,event_week_001_night_dark_room,EventEnter,sequence_night_default,
2,true,week_001,event_week_001_night_parents,EventEnter,sequence_night_default,
3,true,week_002,event_week_002_night_mother_resemblance,EventEnter,sequence_night_default,
4,true,week_002,event_week_002_night_tea_party,EventEnter,sequence_night_default,
5,true,week_003,event_week_003_night_father_book,EventEnter,sequence_night_default,
6,true,week_003,event_week_003_night_carriage_crest,EventEnter,sequence_night_default,
7,true,week_004,event_week_004_night_other_kids,EventEnter,sequence_night_default,
8,true,week_004,event_week_004_night_uncle_pride,EventEnter,sequence_night_default,
9,true,week_005,event_week_005_night_too_many_classes,EventEnter,sequence_night_default,
10,true,week_005,event_week_005_night_unknown_frustration,EventEnter,sequence_night_default,
11,true,week_006,event_week_006_night_ball_thoughts,EventEnter,sequence_night_default,
12,true,week_006,event_week_006_night_chicken_dream,EventEnter,sequence_night_default,
13,true,week_007,event_week_007_night_untold_story,EventEnter,sequence_night_default,
14,true,week_007,event_week_007_night_unknown_mother,EventEnter,sequence_night_default,
15,true,week_008,event_week_008_night_uncle_time,EventEnter,sequence_night_default,
16,true,week_008,event_week_008_night_sleepless_night,EventEnter,sequence_night_default,
cutscene_story_prologue,true,week_000,story_prologue,EventEnter,sequence_story_prologue,
cutscene_story_teaparty,true,week_002,story_teaparty,EventEnter,sequence_story_teaparty,
cutscene_story_festival_street,true,week_004,story_festival_street,EventEnter,sequence_story_festival_street,
cutscene_story_imperial_ball,true,week_006,story_imperial_ball,EventEnter,sequence_story_imperial_ball,
cutscene_story_eve_celebration,true,week_008,story_eve_celebration,EventEnter,sequence_story_eve_celebration,
cutscene_story_inheritance_ceremony,true,week_009,story_inheritance_ceremony,EventEnter,sequence_story_inheritance_ceremony,
cutscene_story_inheritance_alone,true,week_009,story_inheritance_alone,EventEnter,sequence_story_inheritance_alone,
